game,team,batter_id,batter,opposing_pitcher_id,opposing_pitcher,opposing_pitcher_hand,split,AB,PA,H,BB,SO,HR,RBI,AVG,OBP,SLG,OPS,K%,BB%,matchup_grade
Athletics @ Houston Astros,Athletics,666126,Carlos Cortes,837227.0,Tatsuya Imai,R,vs RHP,136,158,41,20,13,5,17,0.301,0.392,0.478,0.87,8.227848101265822,12.658227848101266,Strong Matchup
Chicago White Sox @ Philadelphia Phillies,Philadelphia Phillies,656941,Kyle Schwarber,685126.0,Brandon Eisert,L,vs LHP,85,100,24,12,30,7,15,0.282,0.39,0.612,1.002,30.0,12.0,Strong Matchup
Boston Red Sox @ New York Yankees,New York Yankees,700250,Ben Rice,624133.0,Ranger Suarez,L,vs LHP,63,72,19,7,19,5,12,0.302,0.389,0.603,0.992,26.38888888888889,9.722222222222223,Strong Matchup
Kansas City Royals @ Minnesota Twins,Minnesota Twins,680777,Ryan Jeffers,679883.0,Luinder Avila,R,vs RHP,76,91,22,12,17,6,14,0.289,0.389,0.592,0.981,18.681318681318682,13.186813186813188,Strong Matchup
Tampa Bay Rays @ Miami Marlins,Tampa Bay Rays,666018,Jonathan Aranda,669199.0,Lake Bachar,R,vs RHP,156,189,44,27,40,10,40,0.282,0.386,0.526,0.912,21.164021164021165,14.285714285714285,Strong Matchup
Pittsburgh Pirates @ Atlanta Braves,Pittsburgh Pirates,687462,Spencer Horwitz,675911.0,Spencer Strider,R,vs RHP,159,189,46,26,23,7,23,0.289,0.386,0.484,0.87,12.16931216931217,13.756613756613756,Strong Matchup
Chicago White Sox @ Philadelphia Phillies,Chicago White Sox,808959,Munetaka Murakami,691725.0,Andrew Painter,R,vs RHP,143,174,36,30,52,16,29,0.252,0.385,0.601,0.986,29.88505747126437,17.24137931034483,Strong Matchup
San Francisco Giants @ Chicago Cubs,San Francisco Giants,650333,Luis Arraez,676962.0,Ben Brown,R,vs RHP,163,183,56,13,4,1,15,0.344,0.385,0.436,0.821,2.185792349726776,7.103825136612022,Strong Matchup
Pittsburgh Pirates @ Atlanta Braves,Pittsburgh Pirates,668804,Bryan Reynolds,675911.0,Spencer Strider,R,vs RHP,150,186,37,30,42,3,19,0.247,0.382,0.373,0.755,22.58064516129032,16.129032258064516,Strong Matchup
Baltimore Orioles @ Toronto Blue Jays,Toronto Blue Jays,664702,Myles Straw,680694.0,Kyle Bradish,R,vs RHP,38,43,12,4,3,1,4,0.316,0.381,0.421,0.802,6.976744186046512,9.30232558139535,Strong Matchup
Seattle Mariners @ Detroit Tigers,Seattle Mariners,668227,Randy Arozarena,672456.0,Keider Montero,R,vs RHP,173,200,50,19,43,4,20,0.289,0.38,0.445,0.825,21.5,9.5,Strong Matchup
San Francisco Giants @ Chicago Cubs,Chicago Cubs,683737,Michael Busch,694738.0,Landen Roupp,R,vs RHP,159,192,41,29,40,5,26,0.258,0.38,0.428,0.808,20.833333333333336,15.104166666666666,Strong Matchup
Chicago White Sox @ Philadelphia Phillies,Philadelphia Phillies,681082,Bryson Stott,685126.0,Brandon Eisert,L,vs LHP,32,38,9,5,2,1,3,0.281,0.378,0.406,0.784,5.263157894736842,13.157894736842104,Strong Matchup
Pittsburgh Pirates @ Atlanta Braves,Pittsburgh Pirates,693304,Nick Gonzales,675911.0,Spencer Strider,R,vs RHP,152,162,51,7,23,2,21,0.336,0.377,0.434,0.811,14.19753086419753,4.320987654320987,Strong Matchup
